"Ticker","Nome","Negócios","Última (R$)","Variação"
"FRAS3","Fras-le","253.700","21,99","-0,05%"
"OPCT3","OceanPact","253.600","6,60","-0,45%"
"PRNR3","Priner","251.700","15,09","-0,72%"
"USIM3","Usiminas","246.800","4,46","-1,33%"
"CSED3","Cruzeiro do Sul Educacional","233.500","5,00","-1,77%"
"UNIP6","Unipar","229.200","57,58","-9,15%"
"SAPR3","Sanepar","211.300","7,83","+2,76%"
"BRBI11","BR Partners","204.900","15,44","-3,08%"
"PMAM3","Paranapanema","203.600","1,45","-5,23%"
"TAEE4","Taesa","200.700","11,18","-0,18%"
"ALPK3","Estapar","198.400","3,08","+3,36%"
"DESK3","Desktop","196.300","7,72","-0,39%"
"TOKY3","TOKY3","181.100","1,11","-4,31%"
"PFRM3","Profarma","174.300","7,65","-1,16%"
"VITT3","Vittia","158.500","4,71","-5,42%"
"LPSB3","Lopes","140.100","1,53","+3,38%"
"ROMI3","Indústrias ROMI","133.600","7,82","-2,49%"
"AGRO3","BrasilAgro","124.600","20,26","-0,34%"
"LVTC3","WDC Networks","122.800","3,15","-13,46%"
"MATD3","Mater Dei","119.400","4,67","-0,64%"
"RCSL3","Recrusul","112.300","1,79","+1,13%"
"CMIG3","Cemig","112.200","14,99","+0,13%"
"IGTI3","Jereissati Participações","110.700","2,72","+2,26%"
"IGTI3","Iguatemi","110.700","2,72","+2,26%"
"VTRU3","VITRUBREPCOM","102.000","8,98","-0,22%"
"HBRE3","HBR Realty","100.300","3,64","-2,15%"
"TAEE3","Taesa","99.200","11,03","-1,61%"
"RNEW3","Renova Energia","97.000","0,99","-5,71%"
"RAPT3","Randon","95.900","6,28","+0,16%"
"ETER3","Eternit","95.800","4,06","-4,25%"
"ITSA3","Itaúsa","95.700","11,00","-1,17%"
"SEQL3","Sequoia Logística","95.700","0,97","-2,02%"
"ESPA3","Espaçolaser","94.500","1,03","+0,00%"
"MTSA4","Metisa","93.200","39,94","-0,65%"
"CAMB3","Cambuci","87.800","9,99","-0,10%"
"POMO3","Marcopolo","84.800","7,06","-1,40%"
"DEXP3","Dexxos","82.500","8,22","-2,61%"
"AALR3","Alliança","67.800","5,38","+2,48%"
"TECN3","Technos","65.800","6,46","+1,10%"
"GOAU3","Metalúrgica Gerdau","55.400","9,11","+0,55%"
"VIVR3","Viver","53.800","0,78","+1,30%"
"SCAR3","São Carlos","53.500","18,87","-0,63%"
"AMOB3","Automob","45.300","11,36","-1,13%"
"REAG3","REAG3","43.900","3,95","-1,74%"
"LUPA3","Lupatech","42.100","1,16","+1,75%"
"UNIP3","Unipar","40.200","51,08","-7,06%"
"TRAD3","Traders Club","34.800","8,45","+19,69%"
"BRAP3","Bradespar","32.500","14,96","-0,07%"
"AERI3","Aeris Energy","31.500","4,37","-0,68%"
"CSUD3","CSU Cardsystem","31.200","17,21","-1,32%"
"RNEW4","Renova Energia","30.700","1,03","+4,04%"
"CEBR5","CEB","29.400","21,59","+11,00%"
"TCSA3","Tecnisa","29.300","1,67","-1,18%"
"DMVF3","D1000 Varejo Farma","28.800","4,62","-0,22%"
"WHRL4","Whirlpool","27.300","4,50","-2,17%"
"TPIS3","Triunfo","27.300","3,73","-4,36%"
"CEBR6","CEB","25.200","23,01","+12,52%"
"CEBR3","CEB","24.900","21,30","+10,65%"
"SANB4","Banco Santander","23.800","14,20","-0,70%"
"BRKM3","Braskem","23.700","8,86","-2,74%"
"SHOW3","Time For Fun","23.200","6,41","-2,14%"
"ENGI4","Energisa","23.000","8,64","-3,36%"
"INEP3","Inepar","22.800","1,66","-5,14%"
"MGEL4","Mangels","22.700","5,07","+19,01%"
"BOBR4","Bombril","20.000","1,31","-5,76%"
"AZEV11","Azevedo & Travassos","19.100","0,12","+0,00%"
"LAND3","Terra Santa","19.000","10,20","-2,67%"
"SANB3","Banco Santander","18.800","12,83","-0,47%"
"EUCA4","Eucatex","17.800","17,33","+0,99%"
"PTNT4","Pettenati","17.500","4,53","-2,16%"
"EMAE4","EMAE","16.900","29,00","-3,20%"
"TASA3","Taurus","16.200","5,54","+0,18%"
"FICT3","Fictor Alimentos","14.700","3,27","-0,91%"
"BMEB4","Banco Mercantil do Brasil","14.600","42,00","+0,17%"
"UCAS3","Unicasa","14.600","1,38","+0,00%"
"GGBR3","Gerdau","13.600","14,76","-0,27%"
"COCE5","Coelce","12.900","29,00","+2,29%"
"VSTE3","LE LIS BLANC","12.900","5,94","-1,66%"
"AGXY3","AgroGalaxy","12.700","6,00","-0,17%"
"RPMG3","Refinaria de Manguinhos","12.500","2,87","+0,00%"
"LUXM4","Trevisa","11.800","3,55","-2,47%"
"ALPA3","Alpargatas","11.500","8,94","+3,95%"
"SNSY5","Sansuy","11.500","3,55","+1,14%"
"INEP4","Inepar","11.500","1,38","-6,12%"
"BRSR3","Banrisul","11.300","12,00","+3,81%"
"BAZA3","Banco da Amazônia","11.200","73,69","+1,22%"
"LOGN3","Log-In","10.400","25,05","-1,76%"
"HOOT4","Hotéis Othon","9.900","3,75","-1,06%"
"CGRA4","Grazziotin","9.700","26,60","-2,46%"
"EPAR3","Embpar Participações","9.600","4,43","+2,31%"
"BIOM3","Biomm","8.700","7,25","+3,57%"
"ALUP4","Alupar","8.600","9,45","-1,05%"
"EALT4","Electro Aço Altona","8.200","13,60","-2,02%"
"BEES3","Banestes","7.900","8,48","+0,24%"
"NUTR3","Nutriplant","6.900","2,85","-3,06%"
"RSID3","Rossi Residencial","6.500","1,99","+4,19%"
"DOTZ3","Dotz","6.200","6,59","+0,92%"
"PINE3","Banco Pine","6.200","6,06","+5,21%"
"FHER3","Fertilizantes Heringer","6.000","4,18","+2,20%"
"OIBR4","Oi","5.900","7,59","+0,26%"
"WEST3","Westwing","5.300","4,60","-6,12%"
"DEXP4","Dexxos","5.100","8,30","-1,31%"
"BPAC3","Banco BTG Pactual","5.000","23,85","-1,69%"
"ENGI3","Energisa","5.000","11,80","-4,38%"
"BEES4","Banestes","5.000","8,45","+0,60%"
"NGRD3","Neogrid","4.800","25,60","-0,78%"
"RNEW11","Renova Energia","4.500","3,00","-3,54%"
"MNPR3","Minupar","3.900","28,80","+2,35%"
"CGRA3","Grazziotin","3.400","27,29","+0,15%"
"ALUP3","Alupar","3.400","10,38","-0,48%"
"EQPA3","Equatorial Energia Pará","3.400","5,68","-1,39%"
"CEDO4","Cedro Têxtil","3.000","15,52","-10,80%"
"REDE3","Rede Energia","3.000","6,51","+0,46%"
"CRPG5","Tronox Pigmentos","2.900","15,48","+2,38%"
"WHRL3","Whirlpool","2.800","4,31","+1,89%"
"OSXB3","OSX Brasil","2.600","2,51","+0,00%"
"RDNI3","RNI","2.600","2,22","+0,00%"
"CCTY3","REDVECO PROPERTIES S.A","2.400","36,99","+29,84%"
"CCTY3","RDVC CITY","2.400","36,99","+29,84%"
"TELB3","Telebras","2.200","10,61","-3,55%"
"BPAC5","Banco BTG Pactual","2.200","10,21","-0,58%"
"IGTI4","Iguatemi","2.200","9,85","-1,50%"
"IGTI4","Jereissati Participações","2.200","9,85","-1,50%"
"CLSC4","Celesc","2.100","102,05","-0,92%"
"TELB4","Telebras","2.000","7,37","-0,41%"
"FESA3","Ferbasa","1.600","11,00","-4,60%"
"PDTC3","Padtec","1.600","0,97","-1,02%"
"JFEN3","João Fortes","1.500","1,55","+2,65%"
"AVLL3","Alphaville","1.400","1,64","+1,23%"
"PTNT3","Pettenati","1.300","9,28","-6,17%"
"CGAS5","Comgás","1.100","127,06","-0,35%"
"GEPA4","Rio Paranapanema Energia","1.000","34,85","-0,46%"
"MNDL3","Mundial","1.000","17,05","-2,57%"
"HAGA3","Haga","1.000","1,90","+0,00%"
"ENMT3","Energisa MT","800","60,98","+1,63%"
"OFSA3","Ourofino Saúde Animal","800","23,06","+0,00%"
"BIED3","BIED3","800","3,44","-0,29%"
"AMAR11","Lojas Marisa","800","0,22","-8,33%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","700","2,03","-0,98%"
"BMEB3","Banco Mercantil do Brasil","600","34,00","+0,00%"
"ISAE3","ISA Energia","600","30,00","-0,66%"
"BGIP4","Banese","600","28,01","+0,04%"
"BSLI3","Banco de Brasília","600","8,23","-4,75%"
"DOHL4","Döhler","500","4,00","+0,00%"
"MAPT4","Cemepe","500","3,14","-10,29%"
"ENMT4","Energisa MT","400","54,10","-0,06%"
"PATI3","Panatlântica","400","40,50","+9,37%"
"BALM4","Baumer","400","15,65","-4,57%"
"EALT3","Electro Aço Altona","400","14,99","-0,07%"
"PINE11","Banco Pine","400","11,82","+24,42%"
"NEXP3","Brasil Brokers","400","3,89","+2,37%"
"UNIP5","Unipar","300","58,20","-8,35%"
"GEPA3","Rio Paranapanema Energia","300","33,01","+0,00%"
"CEED3","CEEE D","300","8,00","+8,84%"
"MOAR3","Monteiro Aranha","200","129,52","-0,88%"
"EKTR4","Elektro","200","48,00","+0,00%"
"BSLI4","Banco de Brasília","200","9,55","+1,60%"
"CTSA3","Santanense","200","2,99","-1,32%"
"CTSA4","Santanense","200","2,64","-5,04%"
"HAGA4","Haga","200","1,18","+0,00%"
"TKNO4","Tekno","100","179,00","-1,65%"
"BNBR3","Banco do Nordeste","100","96,00","+0,67%"
"RSUL4","Metalúrgica Riosulense","100","66,01","-2,86%"
"SOND5","Sondotécnica","100","52,00","-5,11%"
"CTKA4","Karsten","100","33,12","-5,37%"
"EQMA3B","Equatorial Maranhão","100","26,49","+2,59%"
"BMIN4","Banco Mercantil de Investimentos","100","16,53","-0,12%"
"CRPG6","Tronox Pigmentos","100","15,49","+3,27%"
"GSHP3","General Shopping & Outlets","100","4,50","+2,51%"
"ESTR4","Estrela","100","4,20","+0,00%"
